name,cas,vendor,sku,concentration,hazard,notes
![tips](https://opentrons-protocol-library-website.s3.amazonaws.com/custom-README-images/sci-xgen-mc/Screen+Shot+2022-04-28+at+11.27.31+AM.png),,Opentrons,,,,Labware referenced by protocol sci-idt-xgen-mc
"* [NEST 0.1 mL 96-Well PCR Plate, Full Skirt",,Opentrons,,,,Labware referenced by protocol sci-idt-xgen-mc
1.5mL [Microcentrigue Tubes](https://shop.opentrons.com/collections/verified-consumables/products/nest-microcentrifuge-tubes),,Opentrons,,,,Labware referenced by protocol 3d942d
1000 uL tipracks,,Opentrons,,,,Labware referenced by protocol 357404
"10ul per sample per column, I.e. 24 samples will have 30 uL in slot 1 A1, 30 uL in slot 1 B1, etc.",,,,,,"Used in protocol ff5763_part2 (Illumina DNA Prep Part 2, Post-Tagmentation Clean Up)"
3DPrint 96 Tube Rack with Nippon 0.2 mL #U0014,,Opentrons,,,,Labware referenced by protocol 00c517-pt2
3x NEST 1 Well Reservoir 195ml,,Opentrons,,,,Labware referenced by protocol 3308b4
3x NEST 96 Deepwell Plate 2ml,,Opentrons,,,,Labware referenced by protocol 3308b4
96 Index Plate,,Opentrons,,,,Labware referenced by protocol 08fd01-pt2
ACN,,,,,,Used in protocol 121d15-repeat (Manual Cleave with Repeat for 2nd EDA)
Abgene 96 Well Plate 2200 µL #AB-0932,,Opentrons,,,,Labware referenced by protocol 051557
Abgene Midi 96 Well Plate 800 µL,,Opentrons,,,,Labware referenced by protocol 3607d5-3
Agilent 1 Well Reservoir 290 mL #201252-100,,Opentrons,,,,Labware referenced by protocol macherey-nagel-nucleomag-pathogen
Agilent 1-Well Reservoir 290 mL,,Opentrons,,,,Labware referenced by protocol 357404
Agilent 96 Well Plate 1400 µL #204355-100,,Opentrons,,,,Labware referenced by protocol 00c517-pt2
Agilent 96 Well Plate 200 µL #5042-8502,,Opentrons,,,,Labware referenced by protocol 0cded6-tagment
Agilent 96 Well Plate 500 µL #5042-1385,,Opentrons,,,,Labware referenced by protocol 00c517-pt2
Agilent With Nonskirted 96 Well Plate 200 µL,,Opentrons,,,,Labware referenced by protocol 0cded6-tagment
Amino,,,,,,Used in protocol 121d15-repeat (Manual Cleave with Repeat for 2nd EDA)
Amplifyt 96 Well Plate 200 µL,,Opentrons,,,,Labware referenced by protocol 17d210
Ampure XP for Size Selection,,,,,,Used in protocol illumina-nextera-XT-library-prep-part2 (Nextera XT DNA Library Prep Kit Protocol: Part 2/4 - Clean Up Libraries)
Antibody 1,,,,,,Used in protocol 357404 (Slide Sample Antibody Staining)
Antibody 2,,,,,,Used in protocol 357404 (Slide Sample Antibody Staining)
Applied Biosystems MicroAmp™ Optical 96-Well Reaction Plate #N8010560,,Opentrons,,,,Labware referenced by protocol 277a3d
Axygen 96well minitube system corning 96 wellplate 1320µL,,Opentrons,,,,Labware referenced by protocol 029f5b
BIOPlastics BV 96 Aluminum Block 100 µL #B59001-1,,Opentrons,,,,Labware referenced by protocol gsdx
BIOPlastics BV 96 Aluminum Block 200 µL #K58001-B58009,,Opentrons,,,,Labware referenced by protocol gsdx
Barcode 96 Well Plate 200 µL,,Opentrons,,,,Labware referenced by protocol quintara_onsite_nanopore
Beckman Coulter RNAdvance Viral kit,,,,,,Used in protocol bc-rnadvance-viral-feat (Beckman Coulter RNAdvance Viral RNA Isolation)
Bio-RAD 96 Well Plate 200ul PCR,,Opentrons,,,,Labware referenced by protocol 3d02be
Bio-RAD 96 well plate 200ul,,Opentrons,,,,Labware referenced by protocol 0bf4f4-pt3
Bio-Rad 96 Well Plate 200 µL PCR,,Opentrons,,,,Labware referenced by protocol 4c8861
Bio-Rad 96 Well Plate 200 µL PCR #hsp9601,,Opentrons,,,,Labware referenced by protocol onsite_galatea_normalization
Bio-Rad 96 Well Plate 200 µL PCR Full Skirt,,Opentrons,,,,Labware referenced by protocol 74841a-2
Bio-Rad 96 Well Plate 350 µL #HSS9601,,Opentrons,,,,Labware referenced by protocol 0849c2
Bio-Rad 96-Well Plate,,Opentrons,,,,Labware referenced by protocol gna_octea
Bio-Rad Hard-Shell 96 Well Plate 200 µL PCR,,Opentrons,,,,Labware referenced by protocol 04eeb1-part-3
BioRad 96 Well Plate,,Opentrons,,,,Labware referenced by protocol e54ada_rt
Biorad 96 well plate 200ul,,Opentrons,,,,Labware referenced by protocol 3b0db0
Biotage ProPlus LX PhyTip® Columns,,,,,,"Used in protocol sci-phytip-protein-puri (Phytip Protein A, ProPlus, ProPlus LX Columns - Protein Purification)"
Biotage ProPlus PhyTip® Columns,,,,,,"Used in protocol sci-phytip-protein-puri (Phytip Protein A, ProPlus, ProPlus LX Columns - Protein Purification)"
Biotage Protein A PhyTip® Columns,,,,,,"Used in protocol sci-phytip-protein-puri (Phytip Protein A, ProPlus, ProPlus LX Columns - Protein Purification)"
Block,,,,,,Used in protocol 357404 (Slide Sample Antibody Staining)
Buffer kit provided by Biotage,,,,,,"Used in protocol sci-phytip-protein-puri (Phytip Protein A, ProPlus, ProPlus LX Columns - Protein Purification)"
Cells (Column 3 of 12-Well Reservoir),,,,,,Used in protocol 1adec6-2 (Seed Cells [2/7])
Cells (Column 4 of 12-Well Reservoir),,,,,,Used in protocol 1adec6-2 (Seed Cells [2/7])
Color Code,,,,,,"Used in protocol ff5763_part2 (Illumina DNA Prep Part 2, Post-Tagmentation Clean Up)"
Color code,,,,,,"Used in protocol ff5763_part4 (Illumina DNA Prep Part 4, Clean Up Libraries 1)"
Combo 96 Well Plate Black Label on Nest Plate 300µL,,Opentrons,,,,Labware referenced by protocol quintara_onsite_nanopore
Corning 24 Well Plate 3.4 mL Flat #3337,,Opentrons,,,,Labware referenced by protocol 0f409e
Corning 360ul 96 well plate flat,,Opentrons,,,,Labware referenced by protocol 3c9aec
Corning 384 Well Plate 112 µL Flat #3640,,Opentrons,,,,Labware referenced by protocol 056543
Corning 384-Well Plate,,Opentrons,,,,Labware referenced by protocol 3d942d
Corning 96 Well Plate 360 ul Flat,,Opentrons,,,,Labware referenced by protocol 925d07-v3
Corning 96 Well Plate 360 µL Flat,,Opentrons,,,,Labware referenced by protocol 30450c
Corning 96 Well Plate 360 µL Flat #3650,,Opentrons,,,,Labware referenced by protocol sci-lucif-assay4-for4
"Corning 96 well plate, flat",,Opentrons,,,,Labware referenced by protocol 7aad4e
Costar 96 Well Plate,,Opentrons,,,,Labware referenced by protocol 4d9b8b
